#mpa_vOct22_CHOCOPhlAnSGB_202212
#/grphome/grp_microsophila/mph_env/bin/metaphlan /nobackup/scratch/grp/grp_microsophila/SRR1525774/microbiome/microbiome_reads.1.fastq,/nobackup/scratch/grp/grp_microsophila/SRR1525774/microbiome/microbiome_reads.2.fastq,/nobackup/scratch/grp/grp_microsophila/SRR1525774/microbiome/microbiome_reads.fastq --index mpa_vOct22_CHOCOPhlAnSGB_202212 --bowtie2db /nobackup/scratch/grp/grp_microsophila/metaphlan_database --bowtie2out /nobackup/scratch/grp/grp_microsophila/SRR1525774/metaphlan/bowtie2_output.bz2 --nproc 16 --input_type fastq -o /nobackup/scratch/grp/grp_microsophila/SRR1525774/profiled_microbiome.txt
#7939463 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria	2	100.0	
k__Bacteria|p__Proteobacteria	2|1224	98.79305	
k__Bacteria|p__Firmicutes	2|1239	1.20695	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	2|1224|28211	98.79305	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	1.20695	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales	2|1224|28211|766	79.4266	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales	2|1224|28211|204441	19.36645	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	1.20695	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae	2|1224|28211|766|942	79.4266	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	2|1224|28211|204441|433	19.36645	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	1.20695	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia	2|1224|28211|766|942|953	79.4266	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter	2|1224|28211|204441|433|434	19.36645	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Fructilactobacillus	2|1239|91061|186826|33958|2767881	1.16834	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus	2|1239|91061|186826|33958|2767886	0.03861	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia|s__Wolbachia_pipientis	2|1224|28211|766|942|953|955	79.4266	
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter|s__Acetobacter_pomorum	2|1224|28211|204441|433|434|65959	19.36645	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Fructilactobacillus|s__Fructilactobacillus_fructivorans	2|1239|91061|186826|33958|2767881|1614	1.16834	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Levilactobacillus|s__Levilactobacillus_brevis	2|1239|91061|186826|33958|2767886|1580	0.03861	
